lsoa_code,population_density
E01004607,9696.4
E01004608,17349.3
E01004535,24242.8
E01004537,17589.1
E01004538,21794.2
E01004541,17882
E01004534,7491.2
E01004536,15573.2
E01004552,18489.7
E01004585,14111.3
E01004588,12031.1
E01004554,4065.3
E01004556,16526.1
E01004586,21754.6
E01004587,16867.5
E01004589,19260.5
E01004511,9857.5
E01004602,11908.9
E01004609,10384.1
E01033135,11809.1
E01004506,10975.2
E01004638,5027.4
E01004639,7569.8
E01004640,10102.3
E01004641,9094.4
E01004508,14570.6
E01004510,11114.5
E01004514,11123.3
E01004515,16068.7
E01004551,7344
E01004568,7637.6
E01004574,10052.3
E01004575,3491.8
E01004576,3602.5
E01004500,12157.7
E01004501,9308.3
E01004503,8596
E01004505,8122.5
E01004507,14273.9
E01004553,8842.1
E01004557,15970.4
E01004558,8149.3
E01004559,8293.8
E01004619,2635
E01004572,2141.4
E01004642,9595.5
E01004643,11616.4
E01004644,6379.1
E01004645,13346
E01004477,8064.2
E01004478,16589
E01004479,10485.4
E01004550,9451.4
