lsoa_code,road_density,street_density_km_per_sqkm,edge_density_km_per_sqkm,n_nodes,n_edges,total_edge_length,avg_street_length,circuity_avg,status
E01004650,0.0146258563126678,7312.928156333902,14625.856312667798,18,38,2582.1891628055914,67.95234638962086,1.0023471262409407,success
E01004651,0.008572326407210513,4286.163203605256,8572.326407210514,7,14,861.9159033985045,61.565421671321744,1.004149634840965,success
E01004652,0.00011980421112587898,59.90210556293949,119.80421112587898,2,2,5.6719956882620615,2.8359978441310307,1.0,success
E01004653,0.02943039122093558,14715.195610467788,29430.391220935577,17,38,2681.4470758788916,70.56439673365504,1.0000017674050337,success
E01004654,0.016897543471147452,8610.159559004489,16897.54347114745,14,27,2001.8174421080237,72.85914333380016,1.0762689694411363,success
E01004656,0.01707458919429743,12088.75226913899,17074.58919429743,23,39,2596.689216656653,65.65883268091982,1.0456736466669139,success
E01004657,0.022031665147690407,13336.118845807616,22031.665147690408,25,48,2722.0530161615598,63.37316048160304,1.0200049037478676,success
E01004658,0.04249670664159197,28346.009119088514,42496.70664159197,38,73,4302.102011147019,59.78278106529751,1.030506954030802,success
E01004659,0.013947473328070214,8642.976305821996,13947.473328070215,11,22,1570.747026381062,74.87393821817184,1.0395078082688607,success
E01004660,0.02878789633445212,17587.937095692752,28787.89633445212,16,28,1992.4340307760124,67.62642341359495,1.020771882722314,success
E01004661,0.027045324747797788,20257.01223009527,27045.324747797786,38,68,3564.5845456106495,55.62254706450633,1.010810410449336,success
E01004662,0.026997082220810386,16591.454432150946,26997.082220810385,21,40,2434.869193392672,59.85538872683404,1.0027028460271223,success
E01004663,0.016017479549113034,8008.739774556518,16017.479549113033,14,28,1507.0139905097487,53.82192823249103,1.0017637138903521,success
E01004665,0.0031429419227131093,1571.4709613565547,3142.9419227131093,2,2,146.1798561548198,73.0899280774099,1.0000053175076682,success
E01004666,0.02886230936792976,17212.310886514784,28862.30936792976,23,41,2516.1819251538864,55.57588386252116,1.0288758823793684,success
E01004667,0.010584257647402978,5613.825230485157,10584.25764740298,12,20,1390.4920068900287,61.45903481622153,1.1290748180165624,success
E01004668,0.03767726792242678,18996.480046821656,37677.267922426785,14,30,2080.081050405148,65.54717928849783,1.1374443214257117,success
E01004669,0.01034037888517925,5170.189442589625,10340.37888517925,6,12,766.4714337399287,63.87261947832739,1.1157529726092301,success
E01004670,0.02312490379573413,11562.451897867066,23124.90379573413,13,28,1947.2021028337442,69.5429322440623,1.121437927568732,success
E01004674,0.034041899153568894,17642.90473115779,34041.89915356889,17,41,2995.094517194313,73.91754690761432,1.2017528866040867,success
E01004675,0.024170255204726074,12085.127602363034,24170.255204726076,18,36,2162.388582391311,60.06634951086974,1.0265035952388224,success
E01004676,0.00039638097882609797,198.190489413049,396.380978826098,3,4,32.29770950033398,8.074427375083495,1.0,success
E01004677,0.024584735172504795,12793.379772033624,24584.735172504792,10,19,1698.6767705937239,88.39557100636046,1.0266063404404258,success
E01004678,0.034579107766455675,18289.191701840773,34579.10776645567,14,30,2960.2364763695678,97.85593074863988,1.079305311388353,success
E01004679,0.02238806910075899,11194.034550379498,22388.069100758992,12,24,1750.9547970303,72.95644987626251,1.0576875786137838,success
E01004680,0.026160165245965154,15976.83718970308,26160.165245965156,32,55,2985.80683549117,50.653508707292026,1.033574597553503,success
E01004681,0.016850735565306394,9509.035917795703,16850.735565306393,23,43,2985.674049100034,60.17304463334126,1.0101796822369211,success
E01004682,0.025400556496136376,15067.640726123636,25400.556496136374,20,33,2308.571411876462,62.247606536504534,1.036573558744796,success
E01004683,0.03528416849422545,19900.061759557684,35284.16849422545,39,80,4632.003034108391,54.42546330675961,1.027442735113421,success
E01004684,0.02752789332204866,16285.164563805261,27527.89332204866,22,39,2187.4035776738906,56.262659482734506,1.0230483294830095,success
E01004686,0.026372356697229198,16454.481079022313,26372.3566972292,21,36,1664.6052948404188,49.456938209686186,1.0108217794627996,success
E01004687,0.02829429837011127,17740.39609683706,28294.29837011127,38,76,5207.0189424443515,70.9734160958828,1.0065551334582175,success
E01004688,0.0043908996440466,2499.0584483796615,4390.8996440466,18,34,3292.4349244005457,93.69363889606711,1.0139147159922055,success
E01004689,0.0024005535758298354,1401.4672875181004,2400.553575829835,29,53,4615.739477787266,76.99185900828924,1.0600462340862917,success
E01004690,0.02084275173796069,13458.228028737587,20842.751737960687,43,76,4864.940754588073,61.59425498458406,1.011147980478279,success
E01004691,0.014615151360092681,9709.791289583933,14615.151360092683,49,89,5113.04047204948,58.567652128884355,1.073160957536293,success
E01004692,0.010057645131253531,5158.4134909602835,10057.645131253532,14,28,1499.6635359927673,51.27697729778047,1.0460544585547946,success
E01004693,0.037021785225538076,22492.41760588154,37021.78522553808,29,54,3048.928094135664,61.74541424355561,1.224828570193318,success
E01004694,0.035337203506213284,19625.818765045868,35337.203506213285,21,44,3658.3028269874253,81.27093391245424,1.1560175394470973,success
